route_long_name,route_short_name,agency_id,route_type,route_id
,EC,10,2,52
,EC,11,2,73
,EC,12,2,53
,EC,2,2,9
,EC,6,2,23
,EC,9,2,95
,EC 27,10,2,88
,EC 27,4,2,2
,EC 43,4,2,24
,EC 43,6,2,89
,EC 62,12,2,3
,EC 62,4,2,65
,EC 75,4,2,44
,EC 85,4,2,25
,EC 85,6,2,74
,EC 85,9,2,80
,EC 89,4,2,10
,EC 95,4,2,54
,EC 95,7,2,34
,EC 96,4,2,45
,EC 96,7,2,29
,ECE 85,4,2,15
,ECE 88,4,2,16
,EN,10,2,90
,EN,11,2,96
,EN,12,2,35
,EN,13,2,11
,EN,3,2,38
,EN,7,2,4
,IC,1,2,46
,IC,12,2,67
,IC,14,2,6
,IC,2,2,59
,IC,5,2,66
,IC,6,2,5
,IC,7,2,81
,IC 17,4,2,17
,IC 18,4,2,26
,IC 26,4,2,12
,IC 27,4,2,13
,IC 32,4,2,68
,IC 34,4,2,91
,IC 35,4,2,47
,IC 39,4,2,27
,IC 51,4,2,36
,IC 55,4,2,7
,IC 56,4,2,75
,IC 57,4,2,92
,IC 6,6,2,85
,IC 61,4,2,39
,IC 62,4,2,86
,IC 77,4,2,55
,IC 87,4,2,30
,IC 90,4,2,48
,ICE,12,2,87
,ICE,5,2,76
,ICE,6,2,82
,ICE 10,4,2,77
,ICE 11,4,2,97
,ICE 12,4,2,60
,ICE 13,4,2,83
,ICE 14,4,2,56
,ICE 15,4,2,49
,ICE 16,4,2,42
,ICE 17,4,2,61
,ICE 18,4,2,18
,ICE 19,4,2,62
,ICE 20,4,2,70
,ICE 21,4,2,19
,ICE 22,4,2,31
,ICE 24,4,2,20
,ICE 25,4,2,84
,ICE 26,4,2,78
,ICE 27,4,2,21
,ICE 28,4,2,71
,ICE 29,4,2,32
,ICE 32,4,2,22
,ICE 39,4,2,43
,ICE 4,4,2,50
,ICE 41,4,2,33
,ICE 42,4,2,69
,ICE 43,4,2,41
,ICE 45,4,2,37
,ICE 47,4,2,93
,ICE 49,4,2,51
,ICE 50,4,2,72
,ICE 60,4,2,63
,ICE 62,4,2,64
,ICE 77,4,2,79
,ICE 78,4,2,94
,ICE 79,4,2,40
,ICE 8,4,2,14
,ICE 82,4,2,58
,ICE 82,8,2,57
,ICE 83,4,2,28
,ICE 83,8,2,98
,ICE 9,4,2,1
,ICE 91,4,2,8
