trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1138398,17:41:00,17:41:00,221961,0,,
1138398,17:49:00,17:51:00,588493,1,,1
1138398,21:40:00,21:43:00,512751,2,,
1138398,22:10:00,22:10:00,74501,3,,
1368377,17:41:00,17:41:00,221961,0,,
1368377,17:49:00,17:51:00,588493,1,,1
1368377,21:45:00,21:48:00,512751,2,,
1368377,22:08:00,22:08:00,74501,3,,
1412730,05:49:00,05:49:00,74501,0,,
1412730,06:15:00,06:18:00,512751,1,,
1412730,10:04:00,10:06:00,580236,2,1,
1412730,10:20:00,10:20:00,493360,3,,
1447439,16:00:00,16:00:00,512751,0,,
1447439,20:12:00,20:14:00,580236,1,1,
1447439,20:23:00,20:25:00,473352,2,1,
1447439,20:29:00,20:32:00,496172,3,1,
1447439,20:40:00,20:40:00,533858,4,,
1499341,16:20:00,16:20:00,631975,0,,
1499341,20:12:00,20:14:00,580236,1,1,
1499341,20:23:00,20:25:00,473352,2,1,
1499341,20:29:00,20:32:00,496172,3,1,
1499341,20:40:00,20:40:00,533858,4,,
1522119,17:37:00,17:37:00,493360,0,,
1522119,17:49:00,17:51:00,588493,1,,1
1522119,21:40:00,21:44:00,512751,2,,
1522119,22:10:00,22:10:00,74501,3,,
174092,11:34:00,11:34:00,493360,0,,
174092,11:49:00,11:51:00,588493,1,,1
174092,15:40:00,15:43:00,512751,2,,
174092,16:10:00,16:10:00,74501,3,,
176981,05:21:00,05:21:00,320217,0,,
176981,05:29:00,05:33:00,457137,1,,1
176981,05:38:00,05:40:00,501356,2,,1
176981,05:49:00,05:51:00,588493,3,,1
176981,09:40:00,09:43:00,512751,4,,
176981,10:10:00,10:10:00,74501,5,,
270563,05:49:00,05:49:00,74501,0,,
270563,06:15:00,06:18:00,512751,1,,
270563,10:04:00,10:06:00,580236,2,1,
270563,10:14:00,10:14:00,221961,3,1,
308637,17:49:00,17:49:00,74501,0,,
308637,18:15:00,18:18:00,512751,1,,
308637,22:03:00,22:14:00,580236,2,1,
308637,22:29:00,22:29:00,493360,3,,
487919,11:41:00,11:41:00,520645,0,,1
487919,11:49:00,11:51:00,588493,1,,1
487919,15:40:00,15:43:00,512751,2,,
487919,16:10:00,16:10:00,74501,3,,
520476,11:49:00,11:49:00,74501,0,,
520476,12:15:00,12:18:00,512751,1,,
520476,16:05:00,16:07:00,448399,2,1,
520476,16:15:00,16:15:00,520645,3,1,
601143,11:49:00,11:49:00,74501,0,,
601143,12:15:00,12:18:00,512751,1,,
601143,16:05:00,16:07:00,448399,2,1,
601143,16:18:00,16:18:00,493360,3,,
609283,11:21:00,11:21:00,320217,0,,
609283,11:29:00,11:33:00,457137,1,,1
609283,11:49:00,11:51:00,588493,2,,1
609283,15:40:00,15:43:00,512751,3,,
609283,16:10:00,16:10:00,74501,4,,
617980,05:49:00,05:49:00,74501,0,,
617980,06:15:00,06:18:00,512751,1,,
617980,10:04:00,10:06:00,580236,2,1,
617980,10:19:00,10:19:00,493360,3,,
674852,17:41:00,17:41:00,221961,0,,
