stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,517842,51.69054,5.293723,1,
's-Hertogenbosch,517842,177543,51.69054,5.293723,,
Aachen Hbf,243728,263091,50.7678,6.091499,,
Aachen Süd(Gr),,372024,50.731915,6.04541,1,
Aachen Süd(Gr),372024,322060,50.731915,6.04541,,
"Aachen, Hauptbahnhof",,243728,50.767723,6.092051,1,
Aalen Hauptbahnhof,,383961,48.841602,10.096031,1,
Aalen Hbf,383961,569156,48.841015,10.096271,,
Altena(Westf),274534,219600,51.301983,7.668808,,
"Altena, Bahnhof",,274534,51.301983,7.66881,1,
Altenbeken,,650115,51.766434,8.943322,1,
Altenbeken,650115,140467,51.766434,8.943319,,
Amersfoort Centraal,,635527,52.153465,5.373909,1,
Amersfoort Centraal,635527,206166,52.153465,5.373909,,
Amsterdam Centraal,,589557,52.37919,4.899431,1,
Amsterdam Centraal,589557,232043,52.37919,4.899431,,
Amstetten NÖ,,394923,48.121605,14.878112,1,
Amstetten NÖ,394923,227189,48.121605,14.878112,,
Andernach,640936,429150,50.434544,7.404839,,
Andernach Bahnhof,,640936,50.434544,7.40484,1,
Angermünde,91016,412337,53.015793,13.995908,,3
Angermünde,91016,70496,53.01574,13.995672,,5
"Angermünde, Bahnhof",,91016,53.015823,13.995871,1,
Anklam,,71732,53.855984,13.701563,1,
Anklam,71732,308194,53.856102,13.701827,,
Ansbach,,14233,49.29803,10.578246,1,
Ansbach,14233,367550,49.29803,10.578239,,
Apeldoorn,,203417,52.20943,5.968491,1,
Apeldoorn,203417,399018,52.20943,5.968491,,
Apolda,,238298,51.03094,11.526136,1,
Apolda,238298,388040,51.03094,11.526136,,
Arnhem Centraal,,167761,51.98478,5.901003,1,
Arnhem Centraal,167761,213417,51.98478,5.901003,,
Arth-Goldau,,641555,47.049046,8.549446,1,
Arth-Goldau,641555,510948,47.049046,8.549446,,
Aschaffenburg Hbf,,6030,49.980556,9.1437,1,
Aschaffenburg Hbf,6030,154245,49.980556,9.143697,,
Attnang-Puchheim,,155997,48.012802,13.720719,1,
Attnang-Puchheim,155997,79071,48.012802,13.720719,,
Augsburg Hbf,,317051,48.36544,10.885569,1,
Augsburg Hbf,317051,424742,48.36544,10.88557,,
Augustfehn,,305023,53.220894,7.759622,1,
Augustfehn,305023,25905,53.220844,7.75963,,
Bad Bentheim,,84581,52.30985,7.158539,1,
Bad Bentheim,84581,197663,52.30985,7.158539,,
Bad Bentheim(Gr),,488857,52.3091,7.04016,1,
Bad Bentheim(Gr),488857,625420,52.3091,7.04016,,
Bad Bevensen,,563245,53.078247,10.574141,1,
Bad Bevensen,563245,130503,53.078274,10.574201,,
Bad Bevensen,563245,86230,53.07822,10.574081,,
Bad Endorf,,495194,47.904766,12.302122,1,
Bad Endorf,495194,67958,47.905067,12.301558,,
Bad Gastein,,453113,47.111774,13.131945,1,
Bad Gastein,453113,182896,47.111774,13.131945,,
Bad Hersfeld,,300589,50.869766,9.716581,1,
