route_id,service_id,trip_id
1,1089,93066
1,1104,906928
1,127,270563
1,165,308637
1,192,617980
1,360,609283
1,380,674852
1,42,950859
1,429,176981
1,472,771385
1,597,1499341
1,597,777695
1,631,520476
1,765,1447439
1,772,174092
1,793,1412730
1,870,1522119
1,870,601143
1,873,1368377
1,925,487919
1,942,1138398
10,1015,407765
10,236,1364095
10,372,182515
10,503,603003
10,715,885061
10,729,1157129
10,832,1268168
10,842,469033
10,857,1134872
10,857,584136
11,510,948138
12,1012,758409
12,1045,1518787
12,111,1153381
12,156,1069418
12,156,1304687
12,156,1491680
12,156,230864
12,156,622032
12,294,177482
12,327,1187077
12,364,598963
12,369,617697
12,435,252028
12,435,696103
12,436,144477
12,477,182093
12,517,116503
12,517,165765
12,517,545029
12,540,1220960
12,561,1269870
12,651,1143920
12,651,1354178
12,651,1383960
12,651,1619402
12,651,341699
12,653,1495946
12,724,1363140
12,729,202782
12,729,316207
12,729,867719
12,742,1238965
12,742,1530028
12,742,71548
12,772,1194795
12,779,271573
12,816,1234946
12,816,1350038
12,816,615392
12,857,1288425
12,857,26375
12,941,560273
13,24,1259379
13,24,18699
13,29,794238
13,291,573322
13,380,1346110
13,581,1623515
13,581,223439
13,581,232955
13,581,557583
13,581,587971
13,581,663646
13,581,828345
13,597,1476544
13,729,336085
13,729,654454
13,729,670209
13,729,824233
13,924,121766
13,924,150682
13,924,1545930
13,924,193043
13,924,361295
13,924,466579
13,924,515447
13,924,956936
14,1104,1061975
15,1055,998532
15,108,710159
15,517,379393
15,603,131330
15,706,362034
15,729,475344
16,1032,1294094
16,1033,1223795
16,1055,581775
16,1060,57061
16,1068,901119
16,108,792191
16,1082,1612194
16,131,779515
16,161,1103731
16,163,228562
16,223,1017707
16,234,880167
16,265,1275415
16,354,1526743
16,378,744949
16,395,285578
16,395,7414
16,46,1342786
16,46,1434987
16,46,173056
16,46,372530
16,46,631276
16,46,751902
16,46,917386
16,46,921121
16,46,927928
16,517,1031307
16,517,107021
16,517,512264
16,517,593790
16,517,783167
16,521,825787
16,540,637821
16,628,1098134
16,628,1241671
16,628,319083
16,701,1148448
16,701,1454996
16,729,1088962
16,729,1199726
16,729,231388
16,729,350688
16,729,580938
16,738,1170589
16,738,138005
16,738,353881
16,738,540067
16,738,779552
16,814,1240149
16,814,1311151
16,814,902422
16,842,285134
16,842,419497
16,842,75726
16,863,764756
16,910,278747
16,910,346605
16,910,47403
16,976,1195980
16,976,226309
16,988,1561950
17,1021,113480
17,1021,975129
17,1033,1400564
17,1058,516453
17,1074,557402
17,1102,666515
17,1109,22806
17,1116,1207046
17,1116,199982
17,1147,688914
17,122,653066
17,156,1078049
17,183,762838
17,187,885175
17,191,1309996
17,192,1009555
17,192,1012118
17,192,107907
17,192,110042
17,192,1302565
17,192,1492130
17,192,183182
17,192,406273
17,192,473257
17,192,495443
17,192,906166
17,192,917743
17,192,977378
17,203,669429
17,234,1019629
17,234,401062
17,24,1008157
17,25,577530
17,255,658433
17,260,286269
17,302,1583160
17,302,780542
17,302,937491
17,32,846606
17,327,1361799
17,343,1003741
17,343,132661
17,343,155864
17,343,299964
17,343,706203
17,343,981952
17,35,764021
17,372,1349376
17,372,1354811
17,41,1359533
17,493,45755
17,506,602588
17,517,1295707
17,541,373930
17,541,956652
17,550,264188
17,557,591098
17,561,432224
17,586,121056
17,597,279316
17,608,1078718
17,608,1381294
17,608,1571139
17,614,1162611
17,633,1354089
17,729,122326
17,729,447319
17,765,739154
17,766,177026
17,772,77663
17,779,915957
17,793,1268946
17,793,343760
17,793,613534
17,794,1391990
17,832,157812
17,889,458287
17,917,8543
17,924,124192
17,95,763951
17,956,1231846
17,957,1016349
17,961,449754
18,1006,727350
18,1021,1534129
18,1021,380399
18,1021,457477
18,1021,792241
18,1025,344864
18,1032,1417003
18,1032,544266
18,1032,681312
18,1033,1387625
18,1033,1565170
18,1033,636446
18,105,1525382
18,105,660588
18,105,696141
18,105,885874
18,1109,1006763
18,1109,1228766
18,1109,1408892
18,1116,1340075
18,1116,947208
